"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"24","Brazil",2022-05-01,120,30454499,105036,663752,861,143275.5,494.1,3122.7,4.1,111,110
"25","Brunei",2022-05-01,120,141911,792,218,0,324739.1,1812.4,498.9,0,109,34
"26","Bulgaria",2022-05-01,120,1156971,3842,36918,64,166518.6,553,5313.5,9.2,110,108
"27","Burkina Faso",2022-05-01,120,20865,0,383,0,998.2,0,18.3,0,109,109
"28","Burma",2022-05-01,120,612900,151,19434,0,11264.5,2.8,357.2,0,106,85
"29","Burundi",2022-05-01,120,39998,1111,38,0,3363.7,93.4,3.2,0,97,38
"30","Cambodia",2022-05-01,120,136252,36,3056,0,8149.5,2.2,182.8,0,109,57
"31","Cameroon",2022-05-01,120,119780,0,1927,0,4512.2,0,72.6,0,109,107
"32","Canada",2022-05-01,120,3768316,51359,39334,456,99844.1,1360.8,1042.2,12.1,112,110
"33","Cape Verde",2022-05-01,120,56025,21,401,0,100764.4,37.8,721.2,0,105,96
"34","Central African Republic",2022-05-01,120,14649,0,113,0,3032.9,0,23.4,0,103,97
"35","Chad",2022-05-01,120,7411,15,193,0,451.2,0.9,11.7,0,104,104
"36","Chile",2022-05-01,120,3561016,14523,57539,164,186284.6,759.7,3010,8.6,111,108
"37","Colombia",2022-05-01,120,6092667,1324,139797,19,119738.8,26,2747.4,0.4,110,109
"38","Comoros",2022-05-01,120,8105,1,160,0,9316.1,1.1,183.9,0,100,69
"39","Costa Rica",2022-05-01,120,852074,4290,8405,22,167270.1,842.2,1650,4.3,110,102
"40","Cote d'Ivoire",2022-05-01,120,81957,70,799,0,3107,2.7,30.3,0,109,105
